,Energy Type,HRM Building ID,billTimeFrame,End Date,Cost,Consumption,Consumption(kWh),Emission_consumption,Emission_CO2,Emission_SOx,Emission_PM,Emission_NOx,Emission_VOC,Emission_CO,Emission_NH3,GHG&CAC,Season
0,Natural Gas,BL243,31,2/1/2016,7679.22,324.12,90033.33,86.8933308,16509.73285,0.086893331,1.04271997,13.20778628,0.782039977,0.643010648,0,16525.4953,Winter
1,Natural Gas,BL243,29,3/1/2016,8083.19,341.22,94783.33,91.4776698,17380.75726,0.09147767,1.097732038,13.90460581,0.823299028,0.676934757,0,17397.35131,Spring
2,Natural Gas,BL243,31,4/1/2016,7365.62,345.75,96041.67,92.6921175,17611.50233,0.092692118,1.11230541,14.08920186,0.834229058,0.68592167,0,17628.31668,Spring
3,Natural Gas,BL243,30,5/1/2016,3167.56,188.07,52241.67,50.4196863,9579.740397,0.050419686,0.605036236,7.663792318,0.453777177,0.373105679,0,9588.886528,Spring
4,Natural Gas,BL243,31,6/1/2016,1640.85,117.5,32638.89,31.500575,5985.10925,0.031500575,0.3780069,4.7880874,0.283505175,0.233104255,0,5990.823454,Summer
5,Natural Gas,BL243,92,9/1/2016,720.25,55.31,15363.89,14.8280579,2817.331001,0.014828058,0.177936695,2.253864801,0.133452521,0.109727628,0,2820.020811,Fall
6,Natural Gas,BL243,30,10/1/2016,360.54,28.81,8002.78,7.7236729,1467.497851,0.007723673,0.092684075,1.173998281,0.069513056,0.057155179,0,1468.898925,Fall
7,Natural Gas,BL243,31,11/1/2016,1439.26,117.56,32655.56,31.5166604,5988.165476,0.03151666,0.378199925,4.790532381,0.283649944,0.233223287,0,5993.882598,Fall
8,Natural Gas,BL243,30,12/1/2016,2630.43,206.74,57427.78,55.4249266,10530.73605,0.055424927,0.665099119,8.424588843,0.498824339,0.410144457,0,10540.79014,Winter
9,Natural Gas,BL243,31,1/1/2017,4228.09,325.92,90533.33,87.3758928,16601.41963,0.087375893,1.048510714,13.28113571,0.786383035,0.646581607,0,16617.26962,Winter
10,Natural Gas,BL243,31,2/1/2017,3595.64,267.84,74400,71.8052256,13642.99286,0.071805226,0.861662707,10.91439429,0.64624703,0.531358669,0,13656.01833,Winter
11,Natural Gas,BL243,28,3/1/2017,3750.63,281.97,78325,75.5933373,14362.73409,0.075593337,0.907120048,11.49018727,0.680340036,0.559390696,0,14376.44672,Spring
12,Natural Gas,BL243,31,4/1/2017,4544.64,358.43,99563.89,96.0914987,18257.38475,0.096091499,1.153097984,14.6059078,0.864823488,0.71107709,0,18274.81575,Spring
13,Natural Gas,BL243,30,5/1/2017,2050.39,173.36,48155.56,46.4760824,8830.455656,0.046476082,0.557712989,7.064364525,0.418284742,0.34392301,0,8838.886417,Spring
14,Natural Gas,BL243,31,6/1/2017,1660.19,142.92,39700,38.3154228,7279.930332,0.038315423,0.459785074,5.823944266,0.344838805,0.283534129,0,7286.88075,Summer
15,Natural Gas,BL243,30,7/1/2017,626.96,53.69,14913.89,14.3937521,2734.812899,0.014393752,0.172725025,2.187850319,0.129543769,0.106513766,0,2737.423926,Summer
16,Natural Gas,BL243,31,8/1/2017,114.73,8.24,2288.89,2.2090616,419.721704,0.002209062,0.026508739,0.335777363,0.019881554,0.016347056,0,420.1224278,Summer
17,Natural Gas,BL243,31,9/1/2017,168.61,13.22,3672.22,3.5441498,673.388462,0.00354415,0.042529798,0.53871077,0.031897348,0.026226709,0,674.0313708,Fall
18,Natural Gas,BL243,30,10/1/2017,320.19,26.64,7400,7.1419176,1356.964344,0.007141918,0.085703011,1.085571475,0.064277258,0.05285019,0,1358.259888,Fall
19,Natural Gas,BL243,31,11/1/2017,889,74.49,20691.67,19.9700241,3794.304579,0.019970024,0.239640289,3.035443663,0.179730217,0.147778178,0,3797.927141,Fall
20,Natural Gas,BL243,30,12/1/2017,2862.63,210.52,58477.78,56.4383068,10723.27829,0.056438307,0.677259682,8.578622634,0.507944761,0.41764347,0,10733.5162,Winter
21,Natural Gas,BL243,31,1/1/2018,4310.15,301.25,83680.56,80.7621125,15344.80138,0.080762113,0.96914535,12.2758411,0.726859013,0.597639633,0,15359.45162,Winter
22,Natural Gas,BL243,31,2/1/2018,4804.96,316.16,87822.22,84.7593344,16104.27354,0.084759334,1.017112013,12.88341883,0.76283401,0.627219075,0,16119.64888,Winter
23,Natural Gas,BL243,28,3/1/2018,4385.44,281.14,78094.44,75.3708226,14320.45629,0.075370823,0.904449871,11.45636504,0.678337403,0.557744087,0,14334.12856,Spring
24,Natural Gas,BL448,31,2/1/2016,39289.31,2207.14,613094.44,591.7121626,112425.3109,0.591712163,7.100545951,89.94024872,5.325409463,4.378670003,0,112532.6475,Winter
25,Natural Gas,BL448,29,3/1/2016,36461.6,2045.98,568327.78,548.5067782,104216.2879,0.548506778,6.582081338,83.37303029,4.936561004,4.058950159,0,104315.787,Spring
26,Natural Gas,BL448,31,4/1/2016,39135.77,2198.39,610663.89,589.3663751,111979.6113,0.589366375,7.072396501,89.58368902,5.304297376,4.361311176,0,112086.5223,Spring
27,Natural Gas,BL448,30,5/1/2016,22353.3,1317.81,366058.33,353.2916829,67125.41975,0.353291683,4.239500195,53.7003358,3.179625146,2.614358453,0,67189.50686,Spring
28,Natural Gas,BL448,31,6/1/2016,11653.49,792.06,220016.67,212.3433654,40345.23943,0.212343365,2.548120385,32.27619154,1.911090289,1.571340904,0,40383.75851,Summer
29,Natural Gas,BL448,122,10/1/2016,2225.91,134.27,37297.22,35.9964443,6839.324417,0.035996444,0.431957332,5.471459534,0.323967999,0.266373688,0,6845.854172,Fall
30,Natural Gas,BL448,31,11/1/2016,6390.6,507.34,140927.78,136.0127806,25842.42831,0.136012781,1.632153367,20.67394265,1.224115025,1.006494576,0,25867.10103,Fall
